uid,sample,gender,age_2,dwelling,industry,social_involve_1,social_involve_2,social_involve_3,social_involve_4,social_involve_5,social_involve_6,volunteerdonate_1,volunteerdonate_2,volunteerdonate_3,volunteerdonate_4,volunteerdonate_7,snetwork_ethnicity,snetwork_nationality,snetwork_religion,snetwork_income,snetwork_education,snetwork_sorientation,close_sg_friends,support_immedfam,support_extfam,support_worksch,support_friends,outcome_connection,outcome_future,online_news,online_sm,online_areasinterest,online_sharemedia,marital_stats,children,age_youngestchild,hh_grandparents,hh_parents,hh_siblings,hh_spouse,hh_children,hh_relatives,hh_helper,hh_mates,hh_employer_their_family,hh_grandchildren,hh_other,hh_none,highest_ed,institution_deg,occupation,mhi,mpi,weight,pillarbeh_1,pillarbeh_2,pillarbeh_3,pillarbeh_4,pillarbeh_5,pillarbeh_6,pillarbeh_7,pillarbeh_8,pillarbeh_9,pillarbeh_10,pillarbeh_11,pillarbeh_12,pillarbeh_13,pillarbeh_14,pillarbeh_15,pillarvals_1,pillarvals_2,pillarvals_3,pillarvals_4,pillarvals_5,pillarvals_6,pillarvals_7,pillarvals_8,pillarvals_9,pillarvals_12,pillarvals_13,pillarvals_14,pillarvals_21,pillarvals_22,pillarvals_23,pillarvals_24,pillarvals_25,pillarvals_26,pillarvals_29,pillarvals_30,pillarvals_31,pillarvals_32,pillarvals_33
405,Resident (Citizen/PR),Female,35-44 years old,HDB 3 room,Finance / Banking / Insurance,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8,8,7,6,7,7,A few times a week,Daily,Less frequently,Less frequently,Married,No,-,No,No,No,Yes,No,No,No,No,No,No,No,No,University / degree,Non-Singapore university (studied overseas most or all of the time),"Senior management (CEO, Director, GM)","S$4,001-S$5,000","S$2,001-S$3,000",0.881168454,6,8,7,8,7,8,8,8,7,7,9,8,7,8,8,8,8,8,6,7,8,9,8,8,8,8,7,8,6,6,8,8,9,8,8,8,8,8
416,Resident (Citizen/PR),Female,25-34 years old,HDB 3 room,Tourism / Hospitality / Accommodation,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 - A lot,5,7,7,5,8,Daily,Daily,A few times a week,A few times a week,Divorced / Widowed / Separated,Yes,8,No,No,No,No,Yes,No,No,No,No,No,No,No,University / degree,Non-Singapore university (studied overseas most or all of the time),"Sales and service staff (e.g. Chefs, Cooks, Cashiers, Waiters, Sales Assistant etc)","S$3,001-S$4,000","S$3,001-S$4,000",0.727891904,8,7,8,5,5,8,6,6,5,8,8,8,8,8,7,7,8,8,7,8,7,6,6,9,8,7,9,8,8,10 - Strongly agree,9,7,8,10 - Strongly agree,8,10 - Strongly agree,10 - Strongly agree,7
427,Resident (Citizen/PR),Male,45-54 years old,HDB 5 room / Executive,"Professional, Scientific and Technical Activities",No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,7,9,8,8,8,7,Less frequently,Less frequently,A few times a month,Less frequently,Married,Yes,12,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Post graduate degree,Non-Singapore university (studied overseas most or all of the time),"Professional (Lawyer, Doctor, Engineer, Accountant, Nurse, etc)",Refuse,Refuse,1.314551139,8,8,4,8,3,5,3,2,3,7,8,5,7,8,4,8,8,9,8,9,8,5,8,5,8,6,8,8,9,8,8,8,8,9,8,8,8,8
451,Resident (Citizen/PR),Female,45-54 years old,HDB 4 room,Not currently working,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,10 - A lot,5,0 - Not at all,5,9,8,A few times a week,Daily,Daily,A few times a week,Married,Yes,19,No,No,No,Yes,Yes,No,No,No,No,No,No,No,University / degree,Non-Singapore based university / institution (via online learning),Unemployed,"S$4,001-S$5,000",-,0.978762877,5,5,5,5,5,5,5,8,0 - Do not agree at all,5,5,5,5,5,5,5,8,5,5,5,5,5,8,5,8,5,8,5,8,5,8,8,5,8,8,8,8,8
457,Resident (Citizen/PR),Female,16-19 years old,HDB 4 room,Not currently working,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,10 - A lot,10 - A lot,7,7,7,8,Daily,A few times a week,A few times a week,Less frequently,Single,No,-,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,"Secondary/ high school / ""O / N"" Levels",-,Student,Refuse,-,0.75033941,8,8,7,7,6,8,7,7,5,8,8,8,8,8,8,9,8,6,8,8,9,5,7,8,8,8,8,8,8,8,8,9,9,9,8,8,8,8
475,Resident (Citizen/PR),Female,25-34 years old,HDB 4 room,Not currently working,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,10 - A lot,10 - A lot,0 - Not at all,10 - A lot,9,10 - I have a strong desire to be a part of shaping Singapore’s future,Daily,Daily,Less frequently,A few times a week,Married,Yes,10,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,University / degree,Non-Singapore based university / institution (via online learning),Home maker,"S$7,001-S$8,000",-,0.803732011,9,9,9,10 - Strongly agree,9,9,9,8,9,9,10 - Strongly agree,9,9,9,9,9,8,9,8,10 - Strongly agree,9,9,10 - Strongly agree,9,10 - Strongly agree,9,10 - Strongly agree,9,9,9,9,8,10 - Strongly agree,9,10 - Strongly agree,9,9,10 - Strongly agree
478,Resident (Citizen/PR),Male,16-19 years old,HDB 4 room,Not currently working,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,10 - A lot,10 - A lot,10 - A lot,10 - A lot,7,7,A few times a month,Daily,A few times a week,Less frequently,Single,No,-,No,Yes,No,No,No,No,No,No,No,No,No,No,"Secondary/ high school / ""O / N"" Levels",-,Student,"S$2,001-S$3,000",-,0.891081358,8,7,6,7,8,10 - Strongly agree,7,8,7,9,7,7,7,8,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,8,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,8,8,10 - Strongly agree,8,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,9,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,9
490,Resident (Citizen/PR),Female,25-34 years old,HDB 3 room,Not currently working,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,10 - A lot,7,0 - Not at all,8,7,6,Daily,Daily,A few times a week,A few times a week,Married,No,-,No,No,No,Yes,No,No,No,No,No,No,No,No,University / degree,Non-Singapore university (studied overseas most or all of the time),Home maker,Refuse,-,0.749618391,10 - Strongly agree,10 - Strongly agree,6,5,7,9,0 - Do not agree at all,5,0 - Do not agree at all,6,10 - Strongly agree,6,6,5,0 - Do not agree at all,7,6,7,5,7,7,5,6,5,7,5,9,7,6,6,6,7,10 - Strongly agree,10 - Strongly agree,9,6,7,9
492,Resident (Citizen/PR),Male,25-34 years old,HDB 3 room,Food and beverage,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,10 - A lot,8,5,8,7,7,Daily,Daily,Daily,Less frequently,Single,No,-,No,Yes,Yes,No,No,No,No,No,No,No,No,No,"Secondary/ high school / ""O / N"" Levels",-,"Sales and service staff (e.g. Chefs, Cooks, Cashiers, Waiters, Sales Assistant etc)","S$9,001-S$10,000","S$3,001-S$4,000",0.890225096,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,7,8,10 - Strongly agree,10 - Strongly agree,7,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,8,10 - Strongly agree,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,8,8,8
493,Resident (Citizen/PR),Female,35-44 years old,HDB 4 room,Not currently working,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,10 - A lot,9,0 - Not at all,8,10 - Very strong,8,Less frequently,Less frequently,Less frequently,Less frequently,Married,Yes,17,No,No,No,Yes,Yes,No,No,No,No,No,No,No,"Junior College / Pre-U / ""A"" Levels",-,Home maker,Refuse,-,0.852792993,10 - Strongly agree,5,3,6,0 - Do not agree at all,5,0 - Do not agree at all,5,0 - Do not agree at all,8,5,1,5,5,9,7,7,8,5,6,2,5,2,3,5,7,10 - Strongly agree,9,8,8,7,8,9,10 - Strongly agree,7,7,7,10 - Strongly agree
497,Resident (Citizen/PR),Female,35-44 years old,HDB 5 room / Executive,Not currently working,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,10 - A lot,0 - Not at all,0 - Not at all,8,8,10 - I have a strong desire to be a part of shaping Singapore’s future,Less frequently,Less frequently,Less frequently,Daily,Married,Yes,2,No,No,No,Yes,Yes,No,No,No,No,No,No,No,"Secondary/ high school / ""O / N"" Levels",-,Home maker,"S$4,001-S$5,000",-,1.255461527,10 - Strongly agree,10 - Strongly agree,0 - Do not agree at all,8,0 - Do not agree at all,6,0 - Do not agree at all,7,0 - Do not agree at all,7,7,6,6,3,5,6,9,9,7,7,10 - Strongly agree,7,9,7,7,7,10 - Strongly agree,7,9,6,6,6,8,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,7,10 - Strongly agree
527,Resident (Citizen/PR),Male,45-54 years old,HDB 4 room,Information and Communications,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,10 - A lot,5,8,7,8,9,Daily,Daily,Daily,Less frequently,Married,Yes,8,No,No,No,Yes,Yes,No,No,No,No,No,No,No,University / degree,Non-Singapore university (studied overseas most or all of the time),"Professional (Lawyer, Doctor, Engineer, Accountant, Nurse, etc)","S$7,001-S$8,000","S$7,001-S$8,000",1.019222856,9,8,8,8,0 - Do not agree at all,7,7,3,0 - Do not agree at all,8,8,9,8,7,9,9,9,9,7,8,7,7,7,8,9,8,9,8,9,8,7,8,9,9,9,8,9,9
532,Resident (Citizen/PR),Female,35-44 years old,HDB 3 room,Not currently working,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,10 - A lot,10 - A lot,6,8,9,8,Daily,Daily,Daily,Less frequently,Married,Yes,9,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Post graduate degree,"Singapore university (e.g. NUS, NTU, SMU, SUSS, SIT, SUTD)",Unemployed,"S$5,001-S$6,000",-,0.772323495,9,8,9,8,7,8,3,8,3,8,10 - Strongly agree,8,7,8,9,8,9,9,8,8,8,8,8,8,8,8,8,8,8,7,8,7,9,9,8,8,8,8
541,Resident (Citizen/PR),Female,35-44 years old,HDB 5 room / Executive,Manufacturing,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 - A lot,10 - A lot,9,9,9,9,A few times a week,A few times a week,A few times a week,A few times a week,Married,Yes,3,No,No,No,Yes,Yes,No,No,No,No,No,No,No,University / degree,"Singapore university (e.g. NUS, NTU, SMU, SUSS, SIT, SUTD)","Professional (Lawyer, Doctor, Engineer, Accountant, Nurse, etc)","$10,001-$11,000",Refuse,1.432396011,8,8,7,6,5,8,5,4,9,7,8,9,6,6,5,7,8,8,7,8,8,7,6,9,9,7,6,7,7,8,8,8,8,8,9,8,8,9
594,Resident (Citizen/PR),Female,35-44 years old,HDB 4 room,Not currently working,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,7,10 - A lot,0 - Not at all,10 - A lot,10 - Very strong,7,Daily,Daily,Less frequently,Less frequently,Married,Yes,10,No,No,No,Yes,Yes,No,No,No,No,No,No,No,University / degree,Non-Singapore university (studied overseas most or all of the time),Home maker,"S$6,001-S$7,000",-,0.852792993,10 - Strongly agree,9,6,7,4,6,5,5,5,10 - Strongly agree,10 - Strongly agree,5,5,10 - Strongly agree,7,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,6,8,7,5,7,5,8,9,10 - Strongly agree,8,8,8,8,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,8,10 - Strongly agree,10 - Strongly agree
658,Resident (Citizen/PR),Female,25-34 years old,HDB 4 room,Not currently working,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,10 - A lot,10 - A lot,0 - Not at all,5,8,9,Daily,A few times a week,A few times a week,A few times a week,Married,Yes,5,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Polytechnic / diploma,-,Home maker,"S$4,001-S$5,000",-,0.803732011,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,9,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,9
679,Resident (Citizen/PR),Male,35-44 years old,Landed property,Health and social services,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,1,5,10 - A lot,10 - A lot,10 - Very strong,10 - I have a strong desire to be a part of shaping Singapore’s future,Daily,Daily,A few times a week,A few times a week,Married,Yes,6,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Post graduate degree,Non-Singapore university (studied overseas most or all of the time),"Senior management (CEO, Director, GM)","Above $20,000","Above $20,000",0.882930964,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,9,10 - Strongly agree,9,9,8,10 - Strongly agree,8,10 - Strongly agree,9,10 - Strongly agree,10 - Strongly agree,9,9,9,10 - Strongly agree,9,10 - Strongly agree,9,10 - Strongly agree,9
683,Resident (Citizen/PR),Female,35-44 years old,HDB 4 room,Finance / Banking / Insurance,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,7,4,7,9,6,5,Less frequently,Daily,A few times a month,A few times a week,Married,Yes,11,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Primary school / PSLE,-,"Sales and service staff (e.g. Chefs, Cooks, Cashiers, Waiters, Sales Assistant etc)",Refuse,"Below S$1,000",0.973408371,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,4,10 - Strongly agree,4,5,4,10 - Strongly agree,9,5,10 - Strongly agree,10 - Strongly agree,9,5,8,5,7,4,7,6,7,2,5,2,7,8,7,6,8,7,6,3,9,5,6,5
711,Resident (Citizen/PR),Female,35-44 years old,HDB 5 room / Executive,Not currently working,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,8,8,0 - Not at all,8,7,7,A few times a week,Daily,A few times a month,A few times a month,Married,Yes,8,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Post graduate degree,Non-Singapore university (studied overseas most or all of the time),Home maker,"S$7,001-S$8,000",-,1.255461527,8,9,8,6,6,9,4,5,10 - Strongly agree,4,5,5,8,7,9,7,7,6,8,8,7,5,7,5,6,8,9,5,7,6,6,8,6,9,9,8,9,8
759,Resident (Citizen/PR),Male,25-34 years old,Private apartment / Condominium,Transportation/logistics/shipping,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,8,7,6,7,7,7,Daily,Daily,A few times a week,A few times a month,Single,No,-,No,No,No,No,No,No,No,Yes,No,No,No,No,University / degree,Non-Singapore university (studied overseas most or all of the time),Middle management (managerial),"S$4,001-S$5,000","S$4,001-S$5,000",0.888360937,7,7,6,5,6,7,5,5,5,7,7,7,7,6,6,8,8,7,7,7,7,6,7,7,8,7,8,7,8,7,7,8,7,8,8,8,8,8
767,Resident (Citizen/PR),Female,65-75 years old,HDB 5 room / Executive,Not currently working,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,10 - A lot,10 - A lot,0 - Not at all,10 - A lot,9,9,Less frequently,Less frequently,Less frequently,Less frequently,Divorced / Widowed / Separated,Yes,More than 20 years old,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,Primary school / PSLE,-,Retired,Refuse,-,1.414809721,10 - Strongly agree,9,8,7,9,5,0 - Do not agree at all,5,2,6,5,5,5,5,0 - Do not agree at all,5,5,5,6,5,6,5,5,1,5,2,8,5,6,6,6,8,6,6,6,5,5,10 - Strongly agree
778,Resident (Citizen/PR),Female,55-64 years old,HDB 5 room / Executive,Not currently working,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,3,10 - A lot,0 - Not at all,0 - Not at all,7,5,Daily,Daily,Daily,A few times a week,Married,Yes,More than 20 years old,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Primary school / PSLE,-,Home maker,"$12,001-$13,000",-,1.414809721,6,9,6,7,1,8,0 - Do not agree at all,7,6,7,9,10 - Strongly agree,9,7,6,6,6,5,7,6,7,6,9,4,8,6,9,6,6,6,6,9,9,5,9,8,4,9
1124,Resident (Citizen/PR),Female,35-44 years old,HDB 3 room,Tourism / Hospitality / Accommodation,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,8,8,0 - Not at all,8,7,7,A few times a week,Daily,A few times a week,A few times a week,Married,No,-,No,No,No,Yes,No,No,No,No,No,No,No,No,Technical / vocational school,-,"Craftsmen and related trades workers (e.g. Electrician, Plumber, Contractor, Baker etc)",Refuse,Refuse,0.881168454,9,8,8,7,6,7,1,8,3,9,9,8,9,9,9,8,8,8,8,8,8,8,8,8,8,7,6,8,8,7,8,8,10 - Strongly agree,8,8,9,8,8
804,Resident (Citizen/PR),Female,45-54 years old,HDB 3 room,Health and social services,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,9,6,7,8,8,A few times a week,A few times a week,A few times a week,A few times a week,Married,Yes,18,No,No,No,Yes,Yes,No,No,No,No,No,No,No,University / degree,Non-Singapore university (studied overseas most or all of the time),Executives / officers,"S$6,001-S$7,000","S$2,001-S$3,000",0.754397211,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,5,10 - Strongly agree,9,5,5,10 - Strongly agree,9,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,7,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,7,10 - Strongly agree,5,10 - Strongly agree,7,7,10 - Strongly agree,7,6,10 - Strongly agree,7,7,7,10 - Strongly agree,10 - Strongly agree,6,10 - Strongly agree,9,7
823,Resident (Citizen/PR),Male,35-44 years old,HDB 5 room / Executive,Manufacturing,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 - A lot,9,9,9,10 - Very strong,10 - I have a strong desire to be a part of shaping Singapore’s future,Daily,Daily,Daily,Less frequently,Married,Yes,3,No,No,No,Yes,Yes,No,No,No,No,No,No,No,University / degree,"Singapore university (e.g. NUS, NTU, SMU, SUSS, SIT, SUTD)",Executives / officers,Refuse,Refuse,1.490949758,10 - Strongly agree,10 - Strongly agree,6,10 - Strongly agree,5,6,6,0 - Do not agree at all,1,6,10 - Strongly agree,8,8,8,10 - Strongly agree,10 - Strongly agree,8,8,8,10 - Strongly agree,8,5,6,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree
839,Resident (Citizen/PR),Male,35-44 years old,HDB 5 room / Executive,Information and Communications,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,7,10 - A lot,8,8,7,7,Daily,Daily,A few times a week,Less frequently,Married,Yes,9,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Post graduate degree,Non-Singapore university (studied overseas most or all of the time),"Professional (Lawyer, Doctor, Engineer, Accountant, Nurse, etc)","$13,001-$14,000","$13,001-$14,000",1.26890752,7,7,6,9,3,6,0 - Do not agree at all,0 - Do not agree at all,0 - Do not agree at all,9,9,0 - Do not agree at all,9,7,10 - Strongly agree,7,8,5,7,7,7,7,6,5,6,5,8,8,10 - Strongly agree,10 - Strongly agree,7,9,10 - Strongly agree,8,8,7,8,9
877,Resident (Citizen/PR),Female,45-54 years old,HDB 4 room,Cleaning services,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,5,5,5,6,8,10 - I have a strong desire to be a part of shaping Singapore’s future,Less frequently,Daily,Daily,Daily,Married,Yes,6,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Technical / vocational school,-,"Cleaners, labourers and related workers",Refuse,"Below S$1,000",0.978762877,10 - Strongly agree,9,7,5,6,9,7,5,5,9,9,9,9,7,6,7,9,10 - Strongly agree,9,9,9,9,7,5,9,6,8,7,6,5,7,10 - Strongly agree,10 - Strongly agree,9,9,10 - Strongly agree,8,10 - Strongly agree
927,Resident (Citizen/PR),Male,16-19 years old,Private apartment / Condominium,Not currently working,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8,0 - Not at all,8,8,8,8,A few times a month,Daily,A few times a week,Less frequently,Single,No,-,No,Yes,No,No,No,No,No,No,No,No,No,No,"Secondary/ high school / ""O / N"" Levels",-,Student,Refuse,-,0.805309091,9,9,6,3,6,7,4,7,7,9,8,8,8,7,8,9,7,7,8,8,8,5,7,7,9,7,9,9,9,9,9,9,10 - Strongly agree,8,9,9,9,8
941,Resident (Citizen/PR),Male,25-34 years old,HDB 4 room,Wholesale and Retail Trade,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,10 - A lot,7,7,8,6,8,Daily,Daily,Daily,A few times a week,Single,No,-,No,No,No,No,No,No,No,Yes,No,No,No,No,University / degree,Non-Singapore university (studied overseas most or all of the time),Executives / officers,"S$2,001-S$3,000","S$2,001-S$3,000",0.982978931,7,9,5,3,3,3,7,2,2,8,9,7,8,7,6,9,6,8,7,8,7,9,7,8,6,9,8,7,8,7,7,9,8,8,7,8,9,6
945,Resident (Citizen/PR),Female,35-44 years old,HDB 4 room,Not currently working,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 - A lot,10 - A lot,0 - Not at all,9,7,6,Daily,Daily,Daily,A few times a month,Married,No,-,No,No,No,Yes,No,No,No,No,No,No,No,No,"Secondary/ high school / ""O / N"" Levels",-,Home maker,Refuse,-,0.972978665,9,10 - Strongly agree,7,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,9,9,3,10 - Strongly agree,9,6,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,5,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,9,9,6,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,8,10 - Strongly agree,9,10 - Strongly agree,10 - Strongly agree,6,6,10 - Strongly agree
951,Resident (Citizen/PR),Male,35-44 years old,HDB 4 room,Information and Communications,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8,7,6,6,9,9,Daily,Daily,A few times a week,A few times a month,Married,Yes,6,No,No,No,Yes,Yes,No,No,No,No,No,No,No,University / degree,Non-Singapore university (studied overseas most or all of the time),Executives / officers,"S$8,001-S$9,000","S$5,001-S$6,000",0.861926405,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,9,9,10 - Strongly agree,10 - Strongly agree,9,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree
953,Resident (Citizen/PR),Female,35-44 years old,HDB 4 room,Not currently working,No,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,10 - A lot,2,0 - Not at all,5,10 - Very strong,10 - I have a strong desire to be a part of shaping Singapore’s future,A few times a week,Less frequently,A few times a week,Less frequently,Married,Yes,7,No,No,No,Yes,Yes,No,No,No,No,No,No,No,University / degree,Non-Singapore university (studied overseas most or all of the time),Home maker,"S$8,001-S$9,000",-,0.852792993,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,5,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,5,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,5,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,9,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,9,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree
